Transaction_date,Product,Price,Payment_Type,Name,City,State,Country,Account_Created,Last_Login,Latitude,Longitude,US Zip
Transaction_date # 174,Product # 174,Price # 174,Visa,Name # 174,Overland,KS,United States,Account_Created # 174,Last_Login # 174,Latitude # 174,-94.67056,66204
Transaction_date # 175,Product # 175,Price # 175,Visa,Name # 175,Senatobia,MS,United States,Account_Created # 175,Last_Login # 175,Latitude # 175,-89.96861,38668
Transaction_date # 176,Product # 176,Price # 176,Mastercard,Name # 176,Waldorf,MD,United States,Account_Created # 176,Last_Login # 176,Latitude # 176,-76.93944,20603
Transaction_date # 177,Product # 177,Price # 177,Diners,Name # 177,Brooklyn,NY,United States,Account_Created # 177,Last_Login # 177,Latitude # 177,-73.95,11226
Transaction_date # 178,Product # 178,Price # 178,Mastercard,Name # 178,Lakeville,MN,United States,Account_Created # 178,Last_Login # 178,Latitude # 178,-93.2425,55044
Transaction_date # 179,Product # 179,Price # 179,Amex,Name # 179,Stamford,CT,United States,Account_Created # 179,Last_Login # 179,Latitude # 179,-73.53917,06901
Transaction_date # 180,Product # 180,Price # 180,Mastercard,Name # 180,Howell,MI,United States,Account_Created # 180,Last_Login # 180,Latitude # 180,-83.92944,48843
Transaction_date # 181,Product # 181,Price # 181,Amex,Name # 181,Encinitas,CA,United States,Account_Created # 181,Last_Login # 181,Latitude # 181,-117.29111,92024
Transaction_date # 182,Product # 182,Price # 182,Visa,Name # 182,Atchison,KS,United States,Account_Created # 182,Last_Login # 182,Latitude # 182,-95.12139,66002
Transaction_date # 183,Product # 183,Price # 183,Amex,Name # 183,Mililani,HI,United States,Account_Created # 183,Last_Login # 183,Latitude # 183,-157.96083,96782
Transaction_date # 184,Product # 184,Price # 184,Diners,Name # 184,Victor,NY,United States,Account_Created # 184,Last_Login # 184,Latitude # 184,-77.40917,14564
Transaction_date # 185,Product # 185,Price # 185,Visa,Name # 185,Fairbanks,AK,United States,Account_Created # 185,Last_Login # 185,Latitude # 185,-147.71639,99701
Transaction_date # 186,Product # 186,Price # 186,Amex,Name # 186,Accokeek,MD,United States,Account_Created # 186,Last_Login # 186,Latitude # 186,-77.02861,20607
Transaction_date # 187,Product # 187,Price # 187,Visa,Name # 187,Sunnyvale,CA,United States,Account_Created # 187,Last_Login # 187,Latitude # 187,-122.03528,94086
Transaction_date # 188,Product # 188,Price # 188,Diners,Name # 188,Ithaca,NY,United States,Account_Created # 188,Last_Login # 188,Latitude # 188,-76.49694,14850
Transaction_date # 189,Product # 189,Price # 189,Amex,Name # 189,Houston,TX,United States,Account_Created # 189,Last_Login # 189,Latitude # 189,-95.36306,77002
Transaction_date # 190,Product # 190,Price # 190,Mastercard,Name # 190,Farmingtn Hls,MI,United States,Account_Created # 190,Last_Login # 190,Latitude # 190,-83.37639,48336
Transaction_date # 191,Product # 191,Price # 191,Mastercard,Name # 191,Brooklyn,NY,United States,Account_Created # 191,Last_Login # 191,Latitude # 191,-73.95,11226
Transaction_date # 192,Product # 192,Price # 192,Mastercard,Name # 192,Great Falls,VA,United States,Account_Created # 192,Last_Login # 192,Latitude # 192,-77.28861,22066
Transaction_date # 193,Product # 193,Price # 193,Mastercard,Name # 193,Scottsdale,AZ,United States,Account_Created # 193,Last_Login # 193,Latitude # 193,-111.89833,85251
Transaction_date # 194,Product # 194,Price # 194,Visa,Name # 194,Sunnyvale,CA,United States,Account_Created # 194,Last_Login # 194,Latitude # 194,-122.03528,94086
Transaction_date # 195,Product # 195,Price # 195,Mastercard,Name # 195,Clyde Hill,WA,United States,Account_Created # 195,Last_Login # 195,Latitude # 195,-122.19944,98004
Transaction_date # 196,Product # 196,Price # 196,Visa,Name # 196,Minneapolis,MN,United States,Account_Created # 196,Last_Login # 196,Latitude # 196,-93.26361,55401
Transaction_date # 197,Product # 197,Price # 197,Visa,Name # 197,Chicago,IL,United States,Account_Created # 197,Last_Login # 197,Latitude # 197,-87.65,60608
Transaction_date # 198,Product # 198,Price # 198,Mastercard,Name # 198,Queen Creek,AZ,United States,Account_Created # 198,Last_Login # 198,Latitude # 198,-111.63361,85142
Transaction_date # 199,Product # 199,Price # 199,Mastercard,Name # 199,Queen Creek,AZ,United States,Account_Created # 199,Last_Login # 199,Latitude # 199,-111.63361,85142
Transaction_date # 200,Product # 200,Price # 200,Visa,Name # 200,Durham,NC,United States,Account_Created # 200,Last_Login # 200,Latitude # 200,-78.89889,27701
Transaction_date # 201,Product # 201,Price # 201,Mastercard,Name # 201,Austin,TX,United States,Account_Created # 201,Last_Login # 201,Latitude # 201,-97.74278,78701
Transaction_date # 202,Product # 202,Price # 202,Mastercard,Name # 202,Glenn Dale,MD,United States,Account_Created # 202,Last_Login # 202,Latitude # 202,-76.82083,20706
Transaction_date # 203,Product # 203,Price # 203,Visa,Name # 203,Edinburg,TX,United States,Account_Created # 203,Last_Login # 203,Latitude # 203,-98.16306,78539
Transaction_date # 204,Product # 204,Price # 204,Visa,Name # 204,Weston,CT,United States,Account_Created # 204,Last_Login # 204,Latitude # 204,-73.38111,06883
Transaction_date # 205,Product # 205,Price # 205,Mastercard,Name # 205,Coconut Grove,FL,United States,Account_Created # 205,Last_Login # 205,Latitude # 205,-80.25722,33133
Transaction_date # 206,Product # 206,Price # 206,Visa,Name # 206,San Francisco,CA,United States,Account_Created # 206,Last_Login # 206,Latitude # 206,-122.41833,94103
Transaction_date # 207,Product # 207,Price # 207,Mastercard,Name # 207,Scottsdale,AZ,United States,Account_Created # 207,Last_Login # 207,Latitude # 207,-111.89833,85251
Transaction_date # 208,Product # 208,Price # 208,Amex,Name # 208,Potomac Falls,VA,United States,Account_Created # 208,Last_Login # 208,Latitude # 208,-77.40111,20165
Transaction_date # 209,Product # 209,Price # 209,Mastercard,Name # 209,Superior,CO,United States,Account_Created # 209,Last_Login # 209,Latitude # 209,-105.13139,80027
Transaction_date # 210,Product # 210,Price # 210,Mastercard,Name # 210,Engleside,VA,United States,Account_Created # 210,Last_Login # 210,Latitude # 210,-77.04722,22314
Transaction_date # 211,Product # 211,Price # 211,Mastercard,Name # 211,Roanoke,VA,United States,Account_Created # 211,Last_Login # 211,Latitude # 211,-80.03778,24018
Transaction_date # 212,Product # 212,Price # 212,Visa,Name # 212,Norcross,GA,United States,Account_Created # 212,Last_Login # 212,Latitude # 212,-84.21361,30071
Transaction_date # 213,Product # 213,Price # 213,Amex,Name # 213,Sandy Plains,GA,United States,Account_Created # 213,Last_Login # 213,Latitude # 213,-84.36167,30075
Transaction_date # 214,Product # 214,Price # 214,Visa,Name # 214,Gainesville,VA,United States,Account_Created # 214,Last_Login # 214,Latitude # 214,-77.61417,20155
Transaction_date # 215,Product # 215,Price # 215,Visa,Name # 215,Arlington,MA,United States,Account_Created # 215,Last_Login # 215,Latitude # 215,-71.15694,02476
Transaction_date # 216,Product # 216,Price # 216,Diners,Name # 216,West Hills,CA,United States,Account_Created # 216,Last_Login # 216,Latitude # 216,-118.59722,91303
Transaction_date # 217,Product # 217,Price # 217,Mastercard,Name # 217,San Jose,CA,United States,Account_Created # 217,Last_Login # 217,Latitude # 217,-121.89389,95113
Transaction_date # 218,Product # 218,Price # 218,Visa,Name # 218,Oak Park,MI,United States,Account_Created # 218,Last_Login # 218,Latitude # 218,-83.18278,48237
Transaction_date # 219,Product # 219,Price # 219,Visa,Name # 219,Terrell Hills,TX,United States,Account_Created # 219,Last_Login # 219,Latitude # 219,-98.49333,78205
Transaction_date # 220,Product # 220,Price # 220,Visa,Name # 220,Falmouth,VA,United States,Account_Created # 220,Last_Login # 220,Latitude # 220,-77.46861,22405
Transaction_date # 221,Product # 221,Price # 221,Visa,Name # 221,Richmond,TX,United States,Account_Created # 221,Last_Login # 221,Latitude # 221,-95.76056,77469
Transaction_date # 222,Product # 222,Price # 222,Diners,Name # 222,Ooltewah,TN,United States,Account_Created # 222,Last_Login # 222,Latitude # 222,-85.06222,37363
Transaction_date # 223,Product # 223,Price # 223,Mastercard,Name # 223,Pacific Beach,CA,United States,Account_Created # 223,Last_Login # 223,Latitude # 223,-117.23944,92109
Transaction_date # 224,Product # 224,Price # 224,Visa,Name # 224,Austin,TX,United States,Account_Created # 224,Last_Login # 224,Latitude # 224,-97.74278,78701
Transaction_date # 225,Product # 225,Price # 225,Visa,Name # 225,Seattle,WA,United States,Account_Created # 225,Last_Login # 225,Latitude # 225,-122.33083,98104
Transaction_date # 226,Product # 226,Price # 226,Visa,Name # 226,Seattle,WA,United States,Account_Created # 226,Last_Login # 226,Latitude # 226,-122.33083,98104
Transaction_date # 227,Product # 227,Price # 227,Visa,Name # 227,Vienna,VA,United States,Account_Created # 227,Last_Login # 227,Latitude # 227,-77.26556,22180
Transaction_date # 228,Product # 228,Price # 228,Visa,Name # 228,Fremont,CA,United States,Account_Created # 228,Last_Login # 228,Latitude # 228,-121.9875,94538
Transaction_date # 229,Product # 229,Price # 229,Amex,Name # 229,Holmdel,NJ,United States,Account_Created # 229,Last_Login # 229,Latitude # 229,-74.18444,07733
Transaction_date # 230,Product # 230,Price # 230,Visa,Name # 230,Baltimore,MD,United States,Account_Created # 230,Last_Login # 230,Latitude # 230,-76.53167,21224
Transaction_date # 231,Product # 231,Price # 231,Mastercard,Name # 231,Andover,MA,United States,Account_Created # 231,Last_Login # 231,Latitude # 231,-71.1375,01810
Transaction_date # 232,Product # 232,Price # 232,Mastercard,Name # 232,La Crescenta,CA,United States,Account_Created # 232,Last_Login # 232,Latitude # 232,-118.23917,91214
Transaction_date # 233,Product # 233,Price # 233,Mastercard,Name # 233,Suwanee,GA,United States,Account_Created # 233,Last_Login # 233,Latitude # 233,-84.07139,30024
Transaction_date # 234,Product # 234,Price # 234,Visa,Name # 234,Seattle,WA,United States,Account_Created # 234,Last_Login # 234,Latitude # 234,-122.33083,98104
Transaction_date # 235,Product # 235,Price # 235,Amex,Name # 235,Arlington,VA,United States,Account_Created # 235,Last_Login # 235,Latitude # 235,-77.08444,22201
Transaction_date # 236,Product # 236,Price # 236,Visa,Name # 236,Kenmore,WA,United States,Account_Created # 236,Last_Login # 236,Latitude # 236,-122.24278,98028
Transaction_date # 237,Product # 237,Price # 237,Visa,Name # 237,Fresno,CA,United States,Account_Created # 237,Last_Login # 237,Latitude # 237,-119.77139,93702
Transaction_date # 238,Product # 238,Price # 238,Amex,Name # 238,Atascadero,CA,United States,Account_Created # 238,Last_Login # 238,Latitude # 238,-120.66972,93422
Transaction_date # 239,Product # 239,Price # 239,Mastercard,Name # 239,New York,NY,United States,Account_Created # 239,Last_Login # 239,Latitude # 239,-74.00639,10007
Transaction_date # 240,Product # 240,Price # 240,Mastercard,Name # 240,Fairfield,IA,United States,Account_Created # 240,Last_Login # 240,Latitude # 240,-91.9625,52556
Transaction_date # 241,Product # 241,Price # 241,Visa,Name # 241,Marietta,GA,United States,Account_Created # 241,Last_Login # 241,Latitude # 241,-84.55,30060
Transaction_date # 242,Product # 242,Price # 242,Amex,Name # 242,Danville,PA,United States,Account_Created # 242,Last_Login # 242,Latitude # 242,-76.61306,17821
Transaction_date # 243,Product # 243,Price # 243,Amex,Name # 243,Anthem,AZ,United States,Account_Created # 243,Last_Login # 243,Latitude # 243,-112.14611,85086
Transaction_date # 244,Product # 244,Price # 244,Visa,Name # 244,Arlington,VA,United States,Account_Created # 244,Last_Login # 244,Latitude # 244,-77.08444,22201
Transaction_date # 245,Product # 245,Price # 245,Amex,Name # 245,Orlando,FL,United States,Account_Created # 245,Last_Login # 245,Latitude # 245,-81.37944,32801
Transaction_date # 246,Product # 246,Price # 246,Mastercard,Name # 246,Walnut Creek,CA,United States,Account_Created # 246,Last_Login # 246,Latitude # 246,-122.06389,94596
Transaction_date # 247,Product # 247,Price # 247,Mastercard,Name # 247,Centennial,CO,United States,Account_Created # 247,Last_Login # 247,Latitude # 247,-104.87639,80112
Transaction_date # 248,Product # 248,Price # 248,Visa,Name # 248,Newtown,CT,United States,Account_Created # 248,Last_Login # 248,Latitude # 248,-73.30389,06470
Transaction_date # 249,Product # 249,Price # 249,Visa,Name # 249,Saddle Brook,NJ,United States,Account_Created # 249,Last_Login # 249,Latitude # 249,-74.09306,07663
Transaction_date # 250,Product # 250,Price # 250,Amex,Name # 250,San Diego,CA,United States,Account_Created # 250,Last_Login # 250,Latitude # 250,-117.15639,92101
Transaction_date # 251,Product # 251,Price # 251,Visa,Name # 251,Issaquah,WA,United States,Account_Created # 251,Last_Login # 251,Latitude # 251,-122.03139,98027
Transaction_date # 252,Product # 252,Price # 252,Visa,Name # 252,Lexington,MA,United States,Account_Created # 252,Last_Login # 252,Latitude # 252,-71.225,02420
Transaction_date # 253,Product # 253,Price # 253,Visa,Name # 253,Altadena,CA,United States,Account_Created # 253,Last_Login # 253,Latitude # 253,-118.13028,91001
Transaction_date # 254,Product # 254,Price # 254,Visa,Name # 254,Altadena,CA,United States,Account_Created # 254,Last_Login # 254,Latitude # 254,-118.13028,91001
Transaction_date # 255,Product # 255,Price # 255,Visa,Name # 255,Davis,CA,United States,Account_Created # 255,Last_Login # 255,Latitude # 255,-121.73944,95616
Transaction_date # 256,Product # 256,Price # 256,Mastercard,Name # 256,Pasadena,CA,United States,Account_Created # 256,Last_Login # 256,Latitude # 256,-118.14361,91101
Transaction_date # 257,Product # 257,Price # 257,Mastercard,Name # 257,Buffalo Grove,IL,United States,Account_Created # 257,Last_Login # 257,Latitude # 257,-89.595,61064
Transaction_date # 258,Product # 258,Price # 258,Amex,Name # 258,Norwalk,CT,United States,Account_Created # 258,Last_Login # 258,Latitude # 258,-73.40833,06851
Transaction_date # 259,Product # 259,Price # 259,Mastercard,Name # 259,Floyds Knobs,IN,United States,Account_Created # 259,Last_Login # 259,Latitude # 259,-85.87361,47119
Transaction_date # 260,Product # 260,Price # 260,Amex,Name # 260,Marietta,GA,United States,Account_Created # 260,Last_Login # 260,Latitude # 260,-84.55,30060
Transaction_date # 261,Product # 261,Price # 261,Amex,Name # 261,Marietta,GA,United States,Account_Created # 261,Last_Login # 261,Latitude # 261,-84.55,30060
Transaction_date # 262,Product # 262,Price # 262,Amex,Name # 262,Hon,HI,United States,Account_Created # 262,Last_Login # 262,Latitude # 262,-157.85833,96813
Transaction_date # 263,Product # 263,Price # 263,Visa,Name # 263,Knoxville,TN,United States,Account_Created # 263,Last_Login # 263,Latitude # 263,-83.92083,37902
Transaction_date # 264,Product # 264,Price # 264,Visa,Name # 264,Knoxville,TN,United States,Account_Created # 264,Last_Login # 264,Latitude # 264,-83.92083,37902
Transaction_date # 265,Product # 265,Price # 265,Visa,Name # 265,Humble,TX,United States,Account_Created # 265,Last_Login # 265,Latitude # 265,-95.26194,77338
Transaction_date # 266,Product # 266,Price # 266,Visa,Name # 266,Mashpee,MA,United States,Account_Created # 266,Last_Login # 266,Latitude # 266,-70.48167,02649
Transaction_date # 267,Product # 267,Price # 267,Visa,Name # 267,Birmingham,MI,United States,Account_Created # 267,Last_Login # 267,Latitude # 267,-83.21139,48009
Transaction_date # 268,Product # 268,Price # 268,Visa,Name # 268,St Augustine,FL,United States,Account_Created # 268,Last_Login # 268,Latitude # 268,-81.31472,32084
Transaction_date # 269,Product # 269,Price # 269,Visa,Name # 269,Salt Lake City,UT,United States,Account_Created # 269,Last_Login # 269,Latitude # 269,-111.89028,84111
Transaction_date # 270,Product # 270,Price # 270,Amex,Name # 270,Seattle,WA,United States,Account_Created # 270,Last_Login # 270,Latitude # 270,-122.33083,98104
Transaction_date # 271,Product # 271,Price # 271,Visa,Name # 271,Rogers,AR,United States,Account_Created # 271,Last_Login # 271,Latitude # 271,-94.11833,72756
Transaction_date # 272,Product # 272,Price # 272,Visa,Name # 272,Rogers,AR,United States,Account_Created # 272,Last_Login # 272,Latitude # 272,-94.11833,72756
Transaction_date # 273,Product # 273,Price # 273,Diners,Name # 273,Alpine,NJ,United States,Account_Created # 273,Last_Login # 273,Latitude # 273,-73.93167,07620
Transaction_date # 274,Product # 274,Price # 274,Mastercard,Name # 274,Pacific Palisades,CA,United States,Account_Created # 274,Last_Login # 274,Latitude # 274,-118.52556,90272
Transaction_date # 275,Product # 275,Price # 275,Visa,Name # 275,Trumansburg,NY,United States,Account_Created # 275,Last_Login # 275,Latitude # 275,-76.66639,14886
Transaction_date # 276,Product # 276,Price # 276,Visa,Name # 276,Kennett Square,PA,United States,Account_Created # 276,Last_Login # 276,Latitude # 276,-75.71194,19348
Transaction_date # 277,Product # 277,Price # 277,Visa,Name # 277,San Jose,CA,United States,Account_Created # 277,Last_Login # 277,Latitude # 277,-121.89389,95113
Transaction_date # 278,Product # 278,Price # 278,Visa,Name # 278,Morro Bay,CA,United States,Account_Created # 278,Last_Login # 278,Latitude # 278,-120.84889,93442
Transaction_date # 279,Product # 279,Price # 279,Visa,Name # 279,Las Vegas,NV,United States,Account_Created # 279,Last_Login # 279,Latitude # 279,-115.13639,89101
Transaction_date # 280,Product # 280,Price # 280,Amex,Name # 280,San Anselmo,CA,United States,Account_Created # 280,Last_Login # 280,Latitude # 280,-122.56056,94960
Transaction_date # 281,Product # 281,Price # 281,Diners,Name # 281,N Woodmere,NY,United States,Account_Created # 281,Last_Login # 281,Latitude # 281,-73.70889,11580
Transaction_date # 282,Product # 282,Price # 282,Visa,Name # 282,Fairfax,CA,United States,Account_Created # 282,Last_Login # 282,Latitude # 282,-122.58778,94930
Transaction_date # 283,Product # 283,Price # 283,Visa,Name # 283,Chandler,AZ,United States,Account_Created # 283,Last_Login # 283,Latitude # 283,-111.84056,85225
Transaction_date # 284,Product # 284,Price # 284,Visa,Name # 284,Dammeron Valley,UT,United States,Account_Created # 284,Last_Login # 284,Latitude # 284,-113.6492,84765
Transaction_date # 285,Product # 285,Price # 285,Mastercard,Name # 285,Buffalo,NY,United States,Account_Created # 285,Last_Login # 285,Latitude # 285,-78.87861,14202
Transaction_date # 286,Product # 286,Price # 286,Visa,Name # 286,Olive Branch,MS,United States,Account_Created # 286,Last_Login # 286,Latitude # 286,-89.82944,38654
Transaction_date # 287,Product # 287,Price # 287,Amex,Name # 287,Warwick,NY,United States,Account_Created # 287,Last_Login # 287,Latitude # 287,-74.36028,10990
Transaction_date # 288,Product # 288,Price # 288,Amex,Name # 288,San Mateo,CA,United States,Account_Created # 288,Last_Login # 288,Latitude # 288,-122.32444,94401
Transaction_date # 289,Product # 289,Price # 289,Visa,Name # 289,Aloma,FL,United States,Account_Created # 289,Last_Login # 289,Latitude # 289,-81.30667,32792
Transaction_date # 290,Product # 290,Price # 290,Diners,Name # 290,Chandler,AZ,United States,Account_Created # 290,Last_Login # 290,Latitude # 290,-111.84056,85225
Transaction_date # 291,Product # 291,Price # 291,Amex,Name # 291,Cumming,GA,United States,Account_Created # 291,Last_Login # 291,Latitude # 291,-84.14028,30040
Transaction_date # 292,Product # 292,Price # 292,Visa,Name # 292,Little Compton,RI,United States,Account_Created # 292,Last_Login # 292,Latitude # 292,-71.17167,02837
Transaction_date # 293,Product # 293,Price # 293,Visa,Name # 293,Centennial,CO,United States,Account_Created # 293,Last_Login # 293,Latitude # 293,-104.87639,80112
Transaction_date # 294,Product # 294,Price # 294,Visa,Name # 294,Centennial,CO,United States,Account_Created # 294,Last_Login # 294,Latitude # 294,-104.87639,80112
Transaction_date # 295,Product # 295,Price # 295,Amex,Name # 295,Herndon,VA,United States,Account_Created # 295,Last_Login # 295,Latitude # 295,-77.38639,20170
Transaction_date # 296,Product # 296,Price # 296,Visa,Name # 296,Vista,CA,United States,Account_Created # 296,Last_Login # 296,Latitude # 296,-117.24167,92084
Transaction_date # 297,Product # 297,Price # 297,Visa,Name # 297,Oostburg,WI,United States,Account_Created # 297,Last_Login # 297,Latitude # 297,-87.79444,53070
Transaction_date # 298,Product # 298,Price # 298,Visa,Name # 298,Ann Arbor,MI,United States,Account_Created # 298,Last_Login # 298,Latitude # 298,-83.72639,48104
Transaction_date # 299,Product # 299,Price # 299,Visa,Name # 299,South Jordan,UT,United States,Account_Created # 299,Last_Login # 299,Latitude # 299,-111.92889,84095
Transaction_date # 300,Product # 300,Price # 300,Mastercard,Name # 300,Lincoln,NE,United States,Account_Created # 300,Last_Login # 300,Latitude # 300,-96.66667,68510
Transaction_date # 301,Product # 301,Price # 301,Mastercard,Name # 301,Burr Oak,IA,United States,Account_Created # 301,Last_Login # 301,Latitude # 301,-91.86528,52101
Transaction_date # 302,Product # 302,Price # 302,Visa,Name # 302,Wheaton,IL,United States,Account_Created # 302,Last_Login # 302,Latitude # 302,-88.10694,60187
Transaction_date # 303,Product # 303,Price # 303,Mastercard,Name # 303,Killeen,TX,United States,Account_Created # 303,Last_Login # 303,Latitude # 303,-97.7275,76541
Transaction_date # 304,Product # 304,Price # 304,Visa,Name # 304,Manhattan,NY,United States,Account_Created # 304,Last_Login # 304,Latitude # 304,-74.00639,10007
Transaction_date # 305,Product # 305,Price # 305,Visa,Name # 305,Jamestown,RI,United States,Account_Created # 305,Last_Login # 305,Latitude # 305,-71.36778,02835
Transaction_date # 306,Product # 306,Price # 306,Visa,Name # 306,Owings Mills,MD,United States,Account_Created # 306,Last_Login # 306,Latitude # 306,-76.78056,21117
Transaction_date # 307,Product # 307,Price # 307,Amex,Name # 307,Anchorage,AK,United States,Account_Created # 307,Last_Login # 307,Latitude # 307,-149.90028,99501
Transaction_date # 308,Product # 308,Price # 308,Mastercard,Name # 308,Fullerton,CA,United States,Account_Created # 308,Last_Login # 308,Latitude # 308,-117.92444,92832
Transaction_date # 309,Product # 309,Price # 309,Amex,Name # 309,Atlanta,GA,United States,Account_Created # 309,Last_Login # 309,Latitude # 309,-84.38806,30334
Transaction_date # 310,Product # 310,Price # 310,Amex,Name # 310,Las Vegas,NV,United States,Account_Created # 310,Last_Login # 310,Latitude # 310,-115.13639,89101
Transaction_date # 311,Product # 311,Price # 311,Visa,Name # 311,Rochester Hills,MI,United States,Account_Created # 311,Last_Login # 311,Latitude # 311,-83.13389,48307
Transaction_date # 312,Product # 312,Price # 312,Diners,Name # 312,Wisconsin Rapids,WI,United States,Account_Created # 312,Last_Login # 312,Latitude # 312,-89.81722,54494
Transaction_date # 313,Product # 313,Price # 313,Visa,Name # 313,Austin,TX,United States,Account_Created # 313,Last_Login # 313,Latitude # 313,-97.74278,78701
Transaction_date # 314,Product # 314,Price # 314,Visa,Name # 314,Chicago,IL,United States,Account_Created # 314,Last_Login # 314,Latitude # 314,-87.65,60608
Transaction_date # 315,Product # 315,Price # 315,Diners,Name # 315,Las Vegas,NV,United States,Account_Created # 315,Last_Login # 315,Latitude # 315,-115.13639,89101
Transaction_date # 316,Product # 316,Price # 316,Visa,Name # 316,Eagan,MN,United States,Account_Created # 316,Last_Login # 316,Latitude # 316,-93.16667,55123
Transaction_date # 317,Product # 317,Price # 317,Mastercard,Name # 317,Lindenhurst,NY,United States,Account_Created # 317,Last_Login # 317,Latitude # 317,-73.37389,11757
Transaction_date # 318,Product # 318,Price # 318,Visa,Name # 318,Bloomfield,MI,United States,Account_Created # 318,Last_Login # 318,Latitude # 318,-83.23306,48009
Transaction_date # 319,Product # 319,Price # 319,Amex,Name # 319,Los Angeles,CA,United States,Account_Created # 319,Last_Login # 319,Latitude # 319,-118.24278,90012
Transaction_date # 320,Product # 320,Price # 320,Mastercard,Name # 320,Fayetteville,NC,United States,Account_Created # 320,Last_Login # 320,Latitude # 320,-78.87861,28301
Transaction_date # 321,Product # 321,Price # 321,Visa,Name # 321,Simpsonville,SC,United States,Account_Created # 321,Last_Login # 321,Latitude # 321,-82.25444,29681
Transaction_date # 322,Product # 322,Price # 322,Visa,Name # 322,North Caldwell,NJ,United States,Account_Created # 322,Last_Login # 322,Latitude # 322,-74.27694,07006
Transaction_date # 323,Product # 323,Price # 323,Visa,Name # 323,San Jose,CA,United States,Account_Created # 323,Last_Login # 323,Latitude # 323,-121.89389,95113
Transaction_date # 324,Product # 324,Price # 324,Visa,Name # 324,Rancho Cordova,CA,United States,Account_Created # 324,Last_Login # 324,Latitude # 324,-121.30167,95670
Transaction_date # 325,Product # 325,Price # 325,Visa,Name # 325,Minneapolis,MN,United States,Account_Created # 325,Last_Login # 325,Latitude # 325,-93.26361,55401
Transaction_date # 326,Product # 326,Price # 326,Mastercard,Name # 326,Phoenix,MD,United States,Account_Created # 326,Last_Login # 326,Latitude # 326,-76.61639,21131
Transaction_date # 327,Product # 327,Price # 327,Visa,Name # 327,Larchmont,NY,United States,Account_Created # 327,Last_Login # 327,Latitude # 327,-73.75222,10538
Transaction_date # 328,Product # 328,Price # 328,Visa,Name # 328,Saint Charles,IL,United States,Account_Created # 328,Last_Login # 328,Latitude # 328,-88.30861,60174
Transaction_date # 329,Product # 329,Price # 329,Visa,Name # 329,Brentwood,TN,United States,Account_Created # 329,Last_Login # 329,Latitude # 329,-86.78278,37027
Transaction_date # 330,Product # 330,Price # 330,Diners,Name # 330,Pensacola,FL,United States,Account_Created # 330,Last_Login # 330,Latitude # 330,-87.21694,32501
Transaction_date # 331,Product # 331,Price # 331,Amex,Name # 331,Saint Petersburg,FL,United States,Account_Created # 331,Last_Login # 331,Latitude # 331,-82.67944,33711
Transaction_date # 332,Product # 332,Price # 332,Visa,Name # 332,Mc Lean,VA,United States,Account_Created # 332,Last_Login # 332,Latitude # 332,-77.1825,22101
Transaction_date # 333,Product # 333,Price # 333,Mastercard,Name # 333,Hendersonville,TN,United States,Account_Created # 333,Last_Login # 333,Latitude # 333,-86.62,37075
Transaction_date # 334,Product # 334,Price # 334,Visa,Name # 334,Rochester Hills,MI,United States,Account_Created # 334,Last_Login # 334,Latitude # 334,-83.13389,48307
Transaction_date # 335,Product # 335,Price # 335,Amex,Name # 335,Malibu,CA,United States,Account_Created # 335,Last_Login # 335,Latitude # 335,-118.80917,90265
Transaction_date # 336,Product # 336,Price # 336,Visa,Name # 336,Allen,TX,United States,Account_Created # 336,Last_Login # 336,Latitude # 336,-96.67028,75013
Transaction_date # 337,Product # 337,Price # 337,Amex,Name # 337,Miami Beach,FL,United States,Account_Created # 337,Last_Login # 337,Latitude # 337,-80.13028,33139
Transaction_date # 338,Product # 338,Price # 338,Mastercard,Name # 338,New York,NY,United States,Account_Created # 338,Last_Login # 338,Latitude # 338,-74.00639,10007
Transaction_date # 339,Product # 339,Price # 339,Mastercard,Name # 339,Woodland Hills,CA,United States,Account_Created # 339,Last_Login # 339,Latitude # 339,-118.605,91364
Transaction_date # 340,Product # 340,Price # 340,Visa,Name # 340,Anchorage,AK,United States,Account_Created # 340,Last_Login # 340,Latitude # 340,-149.90028,99501
Transaction_date # 341,Product # 341,Price # 341,Visa,Name # 341,Yorba Linda,CA,United States,Account_Created # 341,Last_Login # 341,Latitude # 341,-117.81222,92886
Transaction_date # 342,Product # 342,Price # 342,Amex,Name # 342,Jamaica Plain,MA,United States,Account_Created # 342,Last_Login # 342,Latitude # 342,-71.12083,02130
Transaction_date # 343,Product # 343,Price # 343,Visa,Name # 343,Beverly Hills,CA,United States,Account_Created # 343,Last_Login # 343,Latitude # 343,-118.39944,90210
Transaction_date # 344,Product # 344,Price # 344,Visa,Name # 344,Sebastopol,CA,United States,Account_Created # 344,Last_Login # 344,Latitude # 344,-122.82278,95472
Transaction_date # 345,Product # 345,Price # 345,Visa,Name # 345,Glendora,CA,United States,Account_Created # 345,Last_Login # 345,Latitude # 345,-117.86444,91741
Transaction_date # 346,Product # 346,Price # 346,Visa,Name # 346,Billings,MT,United States,Account_Created # 346,Last_Login # 346,Latitude # 346,-108.5,59101
Transaction_date # 347,Product # 347,Price # 347,Visa,Name # 347,Libertyville,IL,United States,Account_Created # 347,Last_Login # 347,Latitude # 347,-87.95306,60048
Transaction_date # 348,Product # 348,Price # 348,Amex,Name # 348,Temecula,CA,United States,Account_Created # 348,Last_Login # 348,Latitude # 348,-117.1475,92590
